rio	campanha	ponto	data	iqa	iet	grupo	parametro	classe	unidade	padrao_legal	valor	lat	lon
BURANHEM	Campanha 1 - 2021	FBS-BRA-900	18/05/2021	75	46	Físicos - Água	STD	Classe 2 - Doce	mg/L	Máximo 500	74	-16,5064444	-39,4790556
BURANHEM	Campanha 2 - 2021	FBS-BRA-900	18/05/2021	75	46	Físicos - Água	STD	Classe 2 - Doce	mg/L	Máximo 500	74	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2021	FBS-BRA-900	18/05/2021	75	46	Físicos - Água	Temperatura	Classe 2 - Doce	ºC	NE	22,2	-16,5064444	-39,4790556
BURANHEM	Campanha 2 - 2021	FBS-BRA-900	18/05/2021	75	46	Físicos - Água	Temperatura	Classe 2 - Doce	ºC	NE	22,2	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2021	FBS-BRA-900	18/05/2021	75	46	Físicos - Água	Turbidez	Classe 2 - Doce	NTU	Máximo 100	18,9	-16,5064444	-39,4790556
BURANHEM	Campanha 2 - 2021	FBS-BRA-900	18/05/2021	75	46	Físicos - Água	Turbidez	Classe 2 - Doce	NTU	Máximo 100	18,9	-16,5064444	-39,4790556
BURANHEM	Campanha 2 - 2021	FBS-BRA-900	18/05/2021	75	46	Químicos - Água	% Saturação de Oxigênio Dissolvido	Classe 2 - Doce	%	NE	97,1	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2021	FBS-BRA-900	18/05/2021	75	46	Químicos - Água	% Saturação de Oxigênio Dissolvido	Classe 2 - Doce	%	NE	97,1	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2021	FBS-BRA-900	18/05/2021	75	46	Químicos - Água	Alcalinidade total	Classe 2 - Doce	mg CaCO3/L	NE	20,3	-16,5064444	-39,4790556
BURANHEM	Campanha 2 - 2021	FBS-BRA-900	18/05/2021	75	46	Químicos - Água	Alcalinidade total	Classe 2 - Doce	mg CaCO3/L	NE	20,3	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2021	FBS-BRA-900	18/05/2021	75	46	Químicos - Água	Cloreto	Classe 2 - Doce	mg Cl/L	NE	10,8	-16,5064444	-39,4790556
BURANHEM	Campanha 2 - 2021	FBS-BRA-900	18/05/2021	75	46	Químicos - Água	Cloreto	Classe 2 - Doce	mg Cl/L	NE	10,8	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2021	FBS-BRA-900	18/05/2021	75	46	Químicos - Água	DBO	Classe 2 - Doce	mg/L	Máximo 5	<3	-16,5064444	-39,4790556
BURANHEM	Campanha 2 - 2021	FBS-BRA-900	18/05/2021	75	46	Químicos - Água	DBO	Classe 2 - Doce	mg/L	Máximo 5	<3	-16,5064444	-39,4790556
BURANHEM	Campanha 2 - 2021	FBS-BRA-900	18/05/2021	75	46	Químicos - Água	DQO	Classe 2 - Doce	mg O2/L	NE	<30,0	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2021	FBS-BRA-900	18/05/2021	75	46	Químicos - Água	DQO	Classe 2 - Doce	mg O2/L	NE	<30,0	-16,5064444	-39,4790556
BURANHEM	Campanha 2 - 2021	FBS-BRA-900	18/05/2021	75	46	Químicos - Água	Nitrogênio Nitrato	Classe 2 - Doce	mg N-NO3/L	Máximo 10	0,05	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2021	FBS-BRA-900	18/05/2021	75	46	Químicos - Água	Nitrogênio Nitrato	Classe 2 - Doce	mg N-NO3/L	Máximo 10	0,05	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2021	FBS-BRA-900	18/05/2021	75	46	Químicos - Água	N-NH3	Classe 2 - Doce	mg N-NH3/L	NE	<0,4	-16,5064444	-39,4790556
BURANHEM	Campanha 2 - 2021	FBS-BRA-900	18/05/2021	75	46	Químicos - Água	N-NH3	Classe 2 - Doce	mg N-NH3/L	NE	<0,4	-16,5064444	-39,4790556
BURANHEM	Campanha 2 - 2021	FBS-BRA-900	18/05/2021	75	46	Químicos - Água	N Total	Classe 2 - Doce	mg N/L	NE	<1,0	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2021	FBS-BRA-900	18/05/2021	75	46	Químicos - Água	N Total	Classe 2 - Doce	mg N/L	NE	<1,0	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2021	FBS-BRA-900	18/05/2021	75	46	Químicos - Água	OD	Classe 2 - Doce	mg OD/L	Mínimo 5	8,46	-16,5064444	-39,4790556
BURANHEM	Campanha 2 - 2021	FBS-BRA-900	18/05/2021	75	46	Químicos - Água	OD	Classe 2 - Doce	mg OD/L	Mínimo 5	8,46	-16,5064444	-39,4790556
BURANHEM	Campanha 2 - 2021	FBS-BRA-900	18/05/2021	75	46	Químicos - Água	Ortofosfato solúvel	Classe 2 - Doce	mg P/L	NE	<0,02	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2021	FBS-BRA-900	18/05/2021	75	46	Químicos - Água	Ortofosfato solúvel	Classe 2 - Doce	mg P/L	NE	<0,02	-16,5064444	-39,4790556
BURANHEM	Campanha 2 - 2021	FBS-BRA-900	18/05/2021	75	46	Químicos - Água	pH	Classe 2 - Doce	s/ unid	Entre 6 - 9	7,39	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2021	FBS-BRA-900	18/05/2021	75	46	Químicos - Água	pH	Classe 2 - Doce	s/ unid	Entre 6 - 9	7,39	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2021	FBS-BRA-900	18/05/2021	75	46	Químicos - Água	P Total	Classe 2 - Doce	mg P/L	Máximo 0.10000	<0,02	-16,5064444	-39,4790556
BURANHEM	Campanha 2 - 2021	FBS-BRA-900	18/05/2021	75	46	Químicos - Água	P Total	Classe 2 - Doce	mg P/L	Máximo 0.10000	<0,02	-16,5064444	-39,4790556
BURANHEM	Campanha 3 - 2021	FBS-BRA-900	06/10/2021	70	46	Biológicos - Água	clorofila	Classe 2 - Doce	µg/L	Máximo 30	<0,40	-16,5064444	-39,4790556
BURANHEM	Campanha 3 - 2021	FBS-BRA-900	06/10/2021	70	46	Biológicos - Água	Colif. termo	Classe 2 - Doce	NMP/100mL	NE	1,4X10^3	-16,5064444	-39,4790556
BURANHEM	Campanha 3 - 2021	FBS-BRA-900	06/10/2021	70	46	Físico - Ar	Temperatura do Ar	Classe 2 - Doce	ºC	NE	32	-16,5064444	-39,4790556
BURANHEM	Campanha 3 - 2021	FBS-BRA-900	06/10/2021	70	46	Físicos - Água	Condutividade	Classe 2 - Doce	µS/cm	NE	134,1	-16,5064444	-39,4790556
BURANHEM	Campanha 3 - 2021	FBS-BRA-900	06/10/2021	70	46	Físicos - Água	Salinidade	Classe 2 - Doce	o/oo	NE	<0,1	-16,5064444	-39,4790556
BURANHEM	Campanha 3 - 2021	FBS-BRA-900	06/10/2021	70	46	Físicos - Água	Sólidos em suspensão	Classe 2 - Doce	mg/L	NE	<50	-16,5064444	-39,4790556
BURANHEM	Campanha 3 - 2021	FBS-BRA-900	06/10/2021	70	46	Físicos - Água	Sólidos totais	Classe 2 - Doce	mg/L	NE	106	-16,5064444	-39,4790556
BURANHEM	Campanha 3 - 2021	FBS-BRA-900	06/10/2021	70	46	Físicos - Água	STD	Classe 2 - Doce	mg/L	Máximo 500	80	-16,5064444	-39,4790556
BURANHEM	Campanha 3 - 2021	FBS-BRA-900	06/10/2021	70	46	Físicos - Água	Temperatura	Classe 2 - Doce	ºC	NE	24,3	-16,5064444	-39,4790556
BURANHEM	Campanha 3 - 2021	FBS-BRA-900	06/10/2021	70	46	Físicos - Água	Turbidez	Classe 2 - Doce	NTU	Máximo 100	8,2	-16,5064444	-39,4790556
BURANHEM	Campanha 3 - 2021	FBS-BRA-900	06/10/2021	70	46	Químicos - Água	% Saturação de Oxigênio Dissolvido	Classe 2 - Doce	%	NE	81	-16,5064444	-39,4790556
BURANHEM	Campanha 3 - 2021	FBS-BRA-900	06/10/2021	70	46	Químicos - Água	Alcalinidade total	Classe 2 - Doce	mg CaCO3/L	NE	21,7	-16,5064444	-39,4790556
BURANHEM	Campanha 3 - 2021	FBS-BRA-900	06/10/2021	70	46	Químicos - Água	Cloreto	Classe 2 - Doce	mg Cl/L	NE	16,6	-16,5064444	-39,4790556
BURANHEM	Campanha 3 - 2021	FBS-BRA-900	06/10/2021	70	46	Químicos - Água	DBO	Classe 2 - Doce	mg/L	Máximo 5	<3	-16,5064444	-39,4790556
BURANHEM	Campanha 3 - 2021	FBS-BRA-900	06/10/2021	70	46	Químicos - Água	DQO	Classe 2 - Doce	mg O2/L	NE	<30,0	-16,5064444	-39,4790556
BURANHEM	Campanha 3 - 2021	FBS-BRA-900	06/10/2021	70	46	Químicos - Água	Nitrogênio Nitrato	Classe 2 - Doce	mg N-NO3/L	Máximo 10	0,13	-16,5064444	-39,4790556
BURANHEM	Campanha 3 - 2021	FBS-BRA-900	06/10/2021	70	46	Químicos - Água	N-NH3	Classe 2 - Doce	mg N-NH3/L	NE	<0,4	-16,5064444	-39,4790556
